metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_sending,1789880720,0.031427,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-23T04:54:13.742Z&end_time=2026-09-23T08:54:13.742Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-23T04:54:13.742Z&end_time=2026-09-23T08:54:13.742Z,,
http_req_waiting,1789880720,200.737834,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-23T04:54:13.742Z&end_time=2026-09-23T08:54:13.742Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-23T04:54:13.742Z&end_time=2026-09-23T08:54:13.742Z,,
http_req_receiving,1789880720,196.272091,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-23T04:54:13.742Z&end_time=2026-09-23T08:54:13.742Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-23T04:54:13.742Z&end_time=2026-09-23T08:54:13.742Z,,
http_req_failed,1789880720,0.000000,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-23T04:54:13.742Z&end_time=2026-09-23T08:54:13.742Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-23T04:54:13.742Z&end_time=2026-09-23T08:54:13.742Z,,
checks,1789880720,1.000000,search status 200,,,,,,,,search_traffic,,,,,,,
http_reqs,1789880720,1.000000,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-24T11:19:36.834Z&end_time=2026-09-24T13:19:36.834Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-24T11:19:36.834Z&end_time=2026-09-24T13:19:36.834Z,,
http_req_duration,1789880720,399.751111,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-24T11:19:36.834Z&end_time=2026-09-24T13:19:36.834Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-24T11:19:36.834Z&end_time=2026-09-24T13:19:36.834Z,,
http_req_blocked,1789880720,198.016773,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-24T11:19:36.834Z&end_time=2026-09-24T13:19:36.834Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-24T11:19:36.834Z&end_time=2026-09-24T13:19:36.834Z,,
http_req_connecting,1789880720,197.940403,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-24T11:19:36.834Z&end_time=2026-09-24T13:19:36.834Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-24T11:19:36.834Z&end_time=2026-09-24T13:19:36.834Z,,
http_req_tls_handshaking,1789880720,0.000000,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-24T11:19:36.834Z&end_time=2026-09-24T13:19:36.834Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-24T11:19:36.834Z&end_time=2026-09-24T13:19:36.834Z,,
